movie_id,imdb_id,title,en_title,budget,revenue,release_date,avg_rating,vote_count,casts,genres,production_companies,adult,budget_transfer,revenue_transfer,actor1,actor2,actor3,actor4,actor5,actor6,year,actor1_count,actor2_count,actor3_count,actor4_count,actor5_count,actor6_count,sequal,year_gap,reunion_holiday,non_reunion_holiday,decade,award_num,company_num,genres_num,director,directing_win_count,production_companies_freq,genres_freq,director_freq,release_weekday,release_month
1094670,tt14022314,True Darkness: KEEP MOVING,True Darkness: KEEP MOVING,500,500,2021-10-31,,,"['Mason Mecartea', 'Cris Ruiz', 'Tiffany Day']","['Horror', 'Mystery', 'Thriller']",['NOMAD COUTURE'],,540.0,540.0,mason mecartea, cris ruiz, tiffany day,,,,2021.0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,11.0,0.0,1.0,3.0,michael moroni,0.0,0.0001063377286261,0.0059549128030625,0.0001063377286261,7.0,10.0
1094287,tt12057400,Abscond,Abscond,500,500,2019-12-09,,,"['Mason Mecartea', 'Brice Hartwich']","['Drama', 'Mystery']",[],,570.0,570.0,mason mecartea, brice hartwich,,,,,2019.0,0,0,0,0,0,0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,2.0,logan dooley,0.0,0.037430880476393,0.0015950659293917,0.0001063377286261,1.0,12.0
1094111,tt12580336,After Fire,After Fire,500,500,2020-06-21,,,"['Mason Mecartea', 'Rob Hull', 'John Thomas Dickson']","['Drama', 'Mystery', 'Thriller']",[],,565.0,565.0,mason mecartea, rob hull, john thomas dickson,,,,2020.0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,3.0,rob hull,0.0,0.037430880476393,0.0025521054870267,0.0001063377286261,7.0,6.0
1089730,tt13309416,Dad Jokes,Dad Jokes,100,200,2021-05-11,9.0,1.0,"['Jeaney Collects', 'Jeaney Collects', 'Jeaney Collects']","['Animation', 'Comedy']",['Jeaney Collects'],,108.0,216.0,jeaney collects, jeaney collects, jeaney collects,,,,2021.0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,11.0,0.0,1.0,2.0,ryan margetts,0.0,0.0001063377286261,0.0010633772862611,0.0001063377286261,2.0,5.0
1078654,tt22487726,Kibble,Kibble,20,20,2022-10-31,,,"['Kameron Cantrell', 'Mason Mecartea', 'Brice Hartwich']","['Mystery', 'Thriller', 'Horror']",[],,20.0,20.0,kameron cantrell, mason mecartea, brice hartwich,,,,2022.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,3.0,mason mecartea,0.0,0.037430880476393,0.000957039557635,0.0001063377286261,1.0,10.0
1066034,tt14242710,Lone Rider Animation,,70,2000,2011-01-10,10.0,1.0,"['Rita Niza', 'João Angello Vieira']","['Action', 'Animation', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Fantasy', 'Western', 'Romance']",['CULTZONE Filmes'],,91.0,2600.0,rita niza, joão angello vieira,,,,,2011.0,0,0,0,0,0,0,0.0,12.0,0.0,0.0,10.0,0.0,1.0,9.0,henrique bouduard,0.0,0.0001063377286261,0.0001063377286261,0.0002126754572522,1.0,1.0
1063680,tt14297960,Vergo: The Dennis Cut,Vergo: The Dennis Cut,1000,1000,2022-07-23,8.0,1.0,"['Jackson Bigley', 'Dennis Edwards', 'Joshua Nelsen', 'Mika Mason', 'Alvin Nguyen', 'Jacob Renwald', 'Bryce G.D Tulloch', 'Lee Edwards']","['Mystery', 'Horror', 'Drama']","['Cold Blood Studios', 'GraveStone Films', 'Jakeson Studios', 'Polar Entertainments', 'Joshua Films', 'Golden Standards Productions', 'Unknown Flickz']",,1000.0,1000.0,jackson bigley, dennis edwards, joshua nelsen, mika mason, alvin nguyen, jacob renwald,2022.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,11.0,0.0,7.0,3.0,jackson bigley,0.0,0.0001063377286261,0.0002126754572522,0.0001063377286261,6.0,7.0
1062983,tt6423766,Happy New Year,,5000,250,2016-11-04,,,"['Andrew Yackel', 'Alex Manalo', 'J. Evan Bradbury']",['Thriller'],['sketch'],,6100.0,305.0,andrew yackel, alex manalo, j. evan bradbury,,,,2016.0,0,0,0,0,0,0,0.0,7.0,0.0,0.0,10.0,0.0,1.0,1.0,jason sealy,0.0,0.0001063377286261,0.0074436410038281,0.0001063377286261,5.0,11.0
1062787,tt14414730,DOC Voice of Land an Inner Journey Feature Length,,10000,100,2021-04-24,10.0,1.0,"['Charlie Chaplin', 'Marshall Rondon', 'Édith Piaf', 'Maíra Kellerman', 'Zarriah Rose', 'Frank Sinatra', 'Maria Bethânia', 'Raul Seixas', 'Art Gilmore']","['Documentary', 'Adventure', 'Music']","['CULTZONE Filmes', 'Global Conscience World', 'Lift-Off Sessions Network']",,10800.0,108.0,charlie chaplin, marshall rondon, édith piaf, maíra kellerman, zarriah rose, frank sinatra,2021.0,0,0,0,0,0,1,0.0,2.0,0.0,0.0,11.0,1.0,3.0,3.0,henrique bouduard,0.0,0.0001063377286261,0.0001063377286261,0.0002126754572522,6.0,4.0
1061329,tt22867144,The Fair Movie,,900,256,2022-11-04,,,"['Aiden Palomo', 'Kylie Cieslewski', 'Luis Trejo', 'Michelle Cieslewski', 'Nick Cieslewski']","['Adventure', 'Comedy']","['AK47 Films', 'Dragon Life Productions']",,900.0,256.0,aiden palomo, kylie cieslewski, luis trejo, michelle cieslewski, nick cieslewski,,2022.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,11.0,0.0,2.0,2.0,aiden palomo,0.0,0.0001063377286261,0.0010633772862611,0.0001063377286261,5.0,11.0
